base_month;account_id;account_status;feature_status;segment;region;service_level;consumption;cost;revenue
01/01/2024;6415311;Assinante;Trial;C;RJ;0.877;31,00;8,99;0,00
01/01/2024;6443256;Assinante;Trial;C;SP;0.83;2,00;0,58;0,00
01/01/2024;6524391;Assinante;Trial;C;PB;0.834;15,00;4,35;0,00
01/01/2024;6602259;Assinante;Trial;C;SP;0.847;42,00;12,18;0,00
01/01/2024;6613248;Assinante;Trial;C;MG;0.855;39,00;11,31;0,00
01/01/2024;6631419;Assinante;Trial;C;SP;0.843;24,00;6959999999999990,00;0,00
01/01/2024;6684015;Assinante;Trial;C;RJ;0.838;3,00;0,87;0,00
01/01/2024;6883410;Assinante;Trial;C;SP;0.821;49,00;14,21;0,00
01/01/2024;6915972;Assinante;Trial;C;RJ;0.838;38,00;11,02;0,00
01/01/2024;7003938;Assinante;Trial;C;RJ;0.851;9,00;2,61;0,00
01/01/2024;7022433;Assinante;Trial;C;MG;0.843;11,00;3,19;0,00
01/01/2024;7224042;Assinante;Trial;C;RJ;0.843;25,00;7249999999999990,00;0,00
01/01/2024;7587732;Assinante;Trial;C;SP;0.809;47,00;13,63;0,00
01/01/2024;7607469;Assinante;Trial;C;CE;0.864;78,00;22,62;0,00
01/01/2024;7616082;Assinante;Trial;C;RJ;0.86;17,00;4,93;0,00
01/01/2024;7730508;Assinante;Trial;B;SP;0.851;256,00;74,24;0,00
01/01/2024;7735206;Assinante;Trial;C;PB;0.855;42,00;12,18;0,00
01/01/2024;7858461;Assinante;Trial;C;SP;0.834;17,00;4,93;0,00
01/01/2024;7990383;Assinante;Trial;C;CE;0.847;37,00;10,73;0,00
01/01/2024;8047812;Assinante;Trial;C;RJ;0.868;50,00;14499999999999900,00;0,00
01/01/2024;8111937;Assinante;Trial;C;SP;0.885;85,00;24,65;0,00
01/01/2024;8300370;Assinante;Trial;C;CE;0.826;4,00;1,16;0,00
01/01/2024;8327856;Assinante;Trial;C;SP;0.821;77,00;22,33;0,00
01/01/2024;8331447;Assinante;Trial;C;PB;0.843;4,00;1,16;0,00
01/01/2024;8408856;Assinante;Trial;B;PB;0.855;1,00;0,29;0,00
01/01/2024;8489316;Assinante;Trial;C;MG;0.864;19,00;5,51;0,00
01/01/2024;8515776;Assinante;Trial;C;MG;0.872;3,00;0,87;0,00
01/01/2024;8579550;Assinante;Trial;C;PB;0.864;18,00;5,22;0,00
01/01/2024;8844042;Assinante;Trial;C;SP;0.838;38,00;11,02;0,00
01/01/2024;8925123;Assinante;Trial;C;SP;0.821;25,00;7249999999999990,00;0,00
01/01/2024;9276582;Assinante;Trial;C;SP;0.843;30,00;8,70;0,00
01/01/2024;9291675;Assinante;Trial;C;SP;0.885;23,00;6,67;0,00
01/01/2024;9335847;Assinante;Trial;C;PB;0.851;11,00;3,19;0,00
01/01/2024;9384582;Assinante;Trial;C;SP;0.855;11,00;3,19;0,00
01/01/2024;9391710;Assinante;Trial;C;PB;0.898;10,00;2,90;0,00
01/01/2024;9524820;Assinante;Trial;C;SP;0.86;26,00;7539999999999990,00;0,00
01/01/2024;9589134;Assinante;Trial;C;SP;0.864;18,00;5,22;0,00
01/01/2024;9592779;Assinante;Trial;C;SP;0.851;30,00;8,70;0,00
01/01/2024;9672429;Assinante;Trial;B;RJ;0.868;179,00;51,91;0,00
01/01/2024;9763635;Assinante;Trial;C;SP;0.838;48,00;13919999999999900,00;0,00
01/01/2024;9815691;Assinante;Trial;C;MG;0.851;64,00;18,56;0,00
01/01/2024;9908571;Assinante;Trial;C;PB;0.851;92,00;26,68;0,00
01/01/2024;10092414;Assinante;Trial;C;CE;0.877;10,00;2,90;0,00
01/01/2024;10121844;Assinante;Trial;C;SP;0.872;26,00;7539999999999990,00;0,00
01/01/2024;10160049;Assinante;Trial;C;SP;0.834;14,00;4,06;0,00
01/01/2024;10298127;Assinante;Trial;C;SP;0.855;32,00;9,28;0,00
01/01/2024;10308360;Assinante;Trial;C;RJ;0.847;18,00;5,22;0,00
01/01/2024;10347591;Assinante;Trial;C;RJ;0.847;16,00;4,64;0,00
01/01/2024;10477623;Assinante;Trial;C;SP;0.826;6,00;17399999999999900,00;0,00
01/01/2024;10521417;Assinante;Trial;C;SP;0.851;21,00;6,09;0,00
01/01/2024;10575606;Assinante;Trial;C;MG;0.838;58,00;16,82;0,00
01/01/2024;10659792;Assinante;Trial;C;PB;0.838;5,00;1,45;0,00
01/01/2024;10858620;Assinante;Trial;C;CE;0.851;73,00;21,17;0,00
01/01/2024;10952958;Assinante;Trial;B;SP;0.872;682,00;197,78;0,00
01/01/2024;10969212;Assinante;Trial;C;MG;0.894;30,00;8,70;0,00
01/01/2024;10975773;Assinante;Trial;C;RJ;0.83;52,00;15079999999999900,00;0,00
01/01/2024;11004609;Assinante;Trial;C;PB;0.881;11,00;3,19;0,00
01/01/2024;11159184;Assinante;Trial;C;PB;0.864;5,00;1,45;0,00
01/01/2024;11172387;Assinante;Trial;C;SP;0.83;4,00;1,16;0,00
01/01/2024;11188992;Assinante;Trial;C;SP;0.834;18,00;5,22;0,00
01/01/2024;11339301;Assinante;Trial;C;CE;0.843;17,00;4,93;0,00
01/01/2024;11445141;Assinante;Trial;C;RJ;0.834;14,00;4,06;0,00
01/01/2024;11701884;Assinante;Trial;C;RJ;0.855;343,00;99,47;0,00
01/01/2024;11707338;Assinante;Trial;C;MG;0.813;26,00;7539999999999990,00;0,00
01/01/2024;11727426;Assinante;Trial;C;RJ;0.826;8,00;2,32;0,00
01/01/2024;11776620;Desistente;Trial;C;SP;0.83;4,00;1,16;0,00
01/01/2024;11781777;Assinante;Trial;C;SP;0.86;21,00;6,09;0,00
01/01/2024;11795871;Assinante;Trial;C;PB;0.847;1,00;0,29;0,00
01/01/2024;11799165;Assinante;Trial;C;RJ;0.83;12,00;34799999999999900,00;0,00
01/01/2024;11928279;Assinante;Trial;C;SP;0.855;39,00;11,31;0,00
01/01/2024;11940753;Assinante;Trial;B;SP;0.826;17,00;4,93;0,00
01/01/2024;12026289;Assinante;Trial;C;CE;0.838;27,00;7829999999999990,00;0,00
01/01/2024;12064035;Assinante;Trial;C;SP;0.834;2,00;0,58;0,00
01/01/2024;12077805;Assinante;Trial;C;RJ;0.809;45,00;13,05;0,00
01/01/2024;12085959;Assinante;Trial;C;SP;0.834;44,00;12,76;0,00
01/01/2024;12178650;Assinante;Trial;C;CE;0.843;37,00;10,73;0,00
01/01/2024;12187290;Assinante;Trial;C;CE;0.838;57,00;16529999999999900,00;0,00
01/01/2024;12191799;Assinante;Trial;C;RJ;0.855;7,00;2,03;0,00
01/01/2024;12225441;Assinante;Trial;C;SP;0.855;13,00;3,77;0,00
01/01/2024;12237969;Trial;Trial;;RJ;0.86;1,00;0,29;0,00
01/01/2024;12264861;Assinante;Trial;C;RJ;0.843;29,00;8,41;0,00
01/01/2024;12410013;Assinante;Trial;B;MG;0.826;329,00;95,41;0,00
01/01/2024;12481644;Assinante;Trial;C;SP;0.868;12,00;34799999999999900,00;0,00
01/01/2024;12491634;Assinante;Trial;C;RJ;0.847;79,00;22,91;0,00
01/01/2024;12539721;Assinante;Trial;C;MG;0.83;54,00;15659999999999900,00;0,00
01/01/2024;12552249;Assinante;Trial;B;CE;0.864;232,00;67,28;0,00
01/01/2024;12585675;Assinante;Trial;C;RJ;0.843;45,00;13,05;0,00
01/01/2024;12604467;Assinante;Trial;B;SP;0.838;57,00;16529999999999900,00;0,00
01/01/2024;12615645;Assinante;Trial;B;CE;0.868;151,00;43,79;0,00
01/01/2024;12655011;Assinante;Trial;C;RJ;0.877;2,00;0,58;0,00
01/01/2024;12669510;Assinante;Trial;C;SP;0.83;26,00;7539999999999990,00;0,00
01/01/2024;12727182;Assinante;Trial;B;PB;0.885;80,00;23,20;0,00
01/01/2024;12753615;Assinante;Trial;C;SP;0.834;18,00;5,22;0,00
01/02/2024;1299;Assinante;Trial;C;SP;0.813;67,00;19,43;0,00
01/02/2024;14421;Assinante;Trial;C;SP;0.868;32,00;9,28;0,00
01/02/2024;91587;Assinante;Trial;C;PB;0.868;85,00;24,65;0,00
01/02/2024;169968;Assinante;Trial;C;RJ;0.847;12,00;34799999999999900,00;0,00
01/02/2024;212574;Assinante;Trial;C;SP;0.851;6,00;17399999999999900,00;0,00
01/02/2024;216462;Assinante;Trial;C;RJ;0.843;26,00;7539999999999990,00;0,00
01/02/2024;275565;Assinante;Trial;B;SP;0.86;29,00;8,41;0,00
01/02/2024;300162;Assinante;Trial;C;SP;0.872;27,00;7829999999999990,00;0,00
01/02/2024;321600;Assinante;Trial;C;PB;0.877;63,00;18,27;0,00
01/02/2024;324327;Assinante;Trial;C;SP;0.86;59,00;17,11;0,00
01/02/2024;340770;Assinante;Trial;C;RJ;0.86;18,00;5,22;0,00
01/02/2024;342201;Assinante;Trial;C;SP;0.821;49,00;14,21;0,00
01/02/2024;364476;Assinante;Trial;C;RJ;0.855;16,00;4,64;0,00
01/02/2024;429249;Assinante;Trial;C;SP;0.834;3,00;0,87;0,00
01/02/2024;454008;Assinante;Trial;C;MG;0.868;12,00;34799999999999900,00;0,00
01/02/2024;498855;Assinante;Trial;C;PB;0.868;12,00;34799999999999900,00;0,00
01/02/2024;609231;Assinante;Trial;C;RJ;0.86;10,00;2,90;0,00
01/02/2024;678297;Assinante;Trial;C;SP;0.843;30,00;8,70;0,00
01/02/2024;690393;Assinante;Trial;C;RJ;0.894;38,00;11,02;0,00
01/02/2024;756408;Assinante;Trial;C;RJ;0.851;23,00;6,67;0,00
01/02/2024;882552;Assinante;Trial;C;CE;0.8;21,00;6,09;0,00
01/02/2024;1382970;Assinante;Trial;B;PB;0.826;102,00;29,58;0,00
01/02/2024;1455330;Assinante;Trial;C;PB;0.83;59,00;17,11;0,00
01/02/2024;1548210;Assinante;Trial;C;RJ;0.83;41,00;11,89;0,00
01/02/2024;1558578;Assinante;Trial;C;SP;0.834;62,00;17,98;0,00
01/02/2024;1566651;Assinante;Trial;C;SP;0.809;20,00;5,80;0,00
01/02/2024;1874586;Assinante;Trial;B;CE;0.804;255,00;7394999999999990,00;0,00
01/02/2024;1956207;Assinante;Trial;C;PB;0.872;29,00;8,41;0,00
01/02/2024;2021412;Assinante;Trial;C;SP;0.885;61,00;17689999999999900,00;0,00
01/02/2024;2117991;Assinante;Trial;B;SP;0.813;28,00;8,12;0,00
01/02/2024;2138025;Assinante;Trial;C;SP;0.877;3,00;0,87;0,00
01/02/2024;2158329;Assinante;Trial;C;PB;0.86;11,00;3,19;0,00
01/02/2024;2158572;Assinante;Trial;C;SP;0.821;49,00;14,21;0,00
01/02/2024;2176230;Assinante;Trial;C;RJ;0.834;29,00;8,41;0,00
01/02/2024;2252505;Assinante;Trial;C;SP;0.868;6,00;17399999999999900,00;0,00
01/02/2024;2335773;Assinante;Trial;C;PB;0.898;51,00;14,79;0,00
01/02/2024;2398251;Assinante;Trial;C;CE;0.847;33,00;9,57;0,00
01/02/2024;2442261;Assinante;Trial;C;RJ;0.834;57,00;16529999999999900,00;0,00
01/02/2024;2459838;Assinante;Trial;C;SP;0.86;34,00;9,86;0,00
01/02/2024;2508681;Assinante;Trial;C;RJ;0.813;16,00;4,64;0,00
01/02/2024;2605827;Assinante;Trial;C;SP;0.851;29,00;8,41;0,00
01/02/2024;2621217;Assinante;Trial;C;RJ;0.86;59,00;17,11;0,00
01/02/2024;2625267;Assinante;Trial;B;SP;0.838;35,00;10,15;0,00
01/02/2024;2629047;Assinante;Trial;C;RJ;0.864;9,00;2,61;0,00
01/02/2024;2629776;Assinante;Trial;C;RJ;0.881;40,00;11,60;0,00
01/02/2024;2874153;Assinante;Trial;C;MG;0.821;36,00;10,44;0,00
01/02/2024;2903124;Assinante;Trial;C;RJ;0.851;60,00;17,40;0,00
01/02/2024;3093933;Assinante;Trial;B;MG;0.813;23,00;6,67;0,00
01/02/2024;3193752;Assinante;Trial;C;SP;0.838;62,00;17,98;0,00
01/02/2024;3338607;Assinante;Trial;C;PB;0.868;7,00;2,03;0,00
01/02/2024;3341631;Assinante;Trial;C;RJ;0.843;7,00;2,03;0,00
01/02/2024;3359721;Assinante;Trial;C;MG;0.864;16,00;4,64;0,00
01/02/2024;3382050;Assinante;Trial;C;MG;0.813;32,00;9,28;0,00
01/02/2024;3403542;Assinante;Trial;B;CE;0.83;305,00;8844999999999990,00;0,00
01/02/2024;3455868;Assinante;Trial;C;SP;0.864;48,00;13919999999999900,00;0,00
01/02/2024;3572886;Assinante;Trial;C;PB;0.813;14,00;4,06;0,00
01/02/2024;3608607;Assinante;Trial;C;SP;0.851;16,00;4,64;0,00
01/02/2024;3633366;Assinante;Trial;C;SP;0.847;31,00;8,99;0,00
01/02/2024;3686664;Assinante;Trial;C;SP;0.864;60,00;17,40;0,00
01/02/2024;3752598;Assinante;Trial;C;PB;0.86;11,00;3,19;0,00
01/02/2024;3856089;Assinante;Trial;C;SP;0.902;57,00;16529999999999900,00;0,00
01/02/2024;4196856;Assinante;Trial;C;PB;0.868;9,00;2,61;0,00
01/02/2024;4208655;Assinante;Trial;C;MG;0.855;13,00;3,77;0,00
01/02/2024;4249047;Assinante;Trial;C;SP;0.872;34,00;9,86;0,00
01/02/2024;4251720;Assinante;Trial;C;SP;0.851;4,00;1,16;0,00
01/02/2024;4499148;Assinante;Trial;C;MG;0.877;67,00;19,43;0,00
01/02/2024;4529550;Assinante;Trial;C;RJ;0.796;14,00;4,06;0,00
01/02/2024;4566162;Assinante;Trial;B;PB;0.847;53,00;15,37;0,00
01/02/2024;4612440;Assinante;Trial;C;MG;0.847;44,00;12,76;0,00
01/02/2024;4819476;Assinante;Trial;C;SP;0.851;25,00;7249999999999990,00;0,00
01/02/2024;4839645;Assinante;Trial;C;PB;0.855;44,00;12,76;0,00
01/02/2024;5071467;Assinante;Trial;C;SP;0.838;92,00;26,68;0,00
01/02/2024;5227203;Assinante;Trial;C;SP;0.868;33,00;9,57;0,00
01/02/2024;5392470;Assinante;Trial;C;RJ;0.847;53,00;15,37;0,00
01/02/2024;5631555;Assinante;Trial;B;PB;0.83;107,00;31,03;0,00
01/02/2024;5714445;Assinante;Trial;C;SP;0.796;32,00;9,28;0,00
01/02/2024;5717118;Assinante;Trial;C;SP;0.821;2,00;0,58;0,00
01/02/2024;5740419;Assinante;Trial;C;SP;0.838;7,00;2,03;0,00
01/02/2024;5748627;Assinante;Trial;C;RJ;0.885;14,00;4,06;0,00
01/02/2024;5790774;Assinante;Trial;C;SP;0.838;32,00;9,28;0,00
01/02/2024;5882250;Assinante;Trial;C;SP;0.83;30,00;8,70;0,00
